state,households,pet_owning_households,dog_households,dog_population,cat_households,cat_population,pet_population,household_type_cat,household_type_dog,Latitude,Longitude,xcoord,ycoord
Alabama,1828,1088,807,1410,501,1252,2662,cat_households,dog_households,33.2588817,-86.8295337,-9665819.477301387,3929716.8088998105
Arizona,2515,1497,1008,1798,743,1438,3236,cat_households,dog_households,34.395342,-111.763275,-12441430.862388602,4082011.1374939885
Arkansas,1148,716,550,1097,351,810,1907,cat_households,dog_households,35.2048883,-92.4479108,-10291254.355157977,4191759.622473951
California,12974,6865,4260,6687,3687,7118,13805,cat_households,dog_households,36.7014631,-118.755997,-13219857.114687523,4397575.88495201
Colorado,1986,1217,845,1349,642,1191,2540,cat_households,dog_households,38.7251776,-105.607716,-11756197.16896065,4682381.726345482
Connecticut,1337,728,379,507,427,796,1303,cat_households,dog_households,41.6500201,-72.7342163,-8096735.921763819,5108697.47008365
Delaware,334,189,113,163,113,187,350,cat_households,dog_households,38.6920451,-75.4013315,-8393637.82771482,4677655.184024184
District of Columbia,287,63,38,42,33,63,105,cat_households,dog_households,38.89384735,-76.98804281910948,-8570269.72379401,4706477.502571085
Florida,7609,4138,2718,4210,2079,4375,8585,cat_households,dog_households,27.7567667,-81.4639835,-9068529.16121164,3218342.101727708
Georgia,3798,2093,1522,2479,1037,2162,4641,cat_households,dog_households,32.3293809,-83.1137366,-9252178.836238265,3806625.0719933794
Idaho,568,352,242,357,196,393,750,cat_households,dog_households,43.6447642,-114.015407,-12692137.049827838,5410632.193285367
Illinois,5026,2602,1627,2365,1321,2453,4818,cat_households,dog_households,40.0796606,-89.4337288,-9955717.149759725,4877525.102300481
Indiana,2478,1484,989,1619,852,1912,3531,cat_households,dog_households,40.3270127,-86.1746933,-9592922.977422522,4913577.288896642
Iowa,1219,654,407,610,370,805,1415,cat_households,dog_households,41.9216734,-93.3122705,-10387474.436824203,5149253.710727438
Kansas,1133,691,480,774,378,731,1505,cat_households,dog_households,38.27312,-98.5821872,-10974118.880391171,4618080.680635301
Kentucky,1777,1094,816,1531,654,1349,2880,cat_households,dog_households,37.5726028,-85.1551411,-9479426.945681361,4519223.624261549
Louisiana,1702,937,619,1115,441,877,1992,cat_households,dog_households,30.8703881,-92.007126,-10242186.415672561,3615927.9859745074
Maine,548,345,190,300,254,498,798,cat_households,dog_households,45.709097,-68.8590201,-7665351.0540557895,5733853.731848611
Maryland,2169,1134,667,915,645,1677,2592,cat_households,dog_households,39.5162401,-76.9382069,-8564722.014655527,4795890.633443283
Massachusetts,2618,1318,618,850,892,1593,2443,cat_households,dog_households,42.3788774,-72.032366,-8018606.303754712,5217903.489967251
Michigan,3804,2108,1318,2036,1192,2420,4456,cat_households,dog_households,43.6211955,-84.6824346,-9426805.49880669,5407007.231812604
Minnesota,2163,1146,690,934,643,1264,2198,cat_households,dog_households,45.9896587,-94.6113288,-10532084.945290979,5778692.174521774
Mississippi,1115,629,504,846,324,668,1514,cat_households,dog_households,32.9715285,-89.7348497,-9989237.775014937,3891525.4574483833
Missouri,2498,1534,1148,1978,805,1653,3631,cat_households,dog_households,38.7604815,-92.5617875,-10303931.051415194,4687420.44391341
