CensusId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,Poverty
1001,Alabama,Autauga,55221,26745,28476,1435.746,41857.518000000004,10215.885,220.88400000000001,552.21,0.0,40725,51281.0,12.9
1003,Alabama,Baldwin,195121,95314,99807,8780.445,162145.551,18536.495,1170.726,1365.8469999999998,0.0,147695,50254.0,13.4
1005,Alabama,Barbour,26932,14497,12435,1238.872,12442.584,12577.244,53.864000000000004,107.72800000000001,0.0,20714,32964.0,26.7
1007,Alabama,Bibb,22604,12073,10531,497.28800000000007,16839.98,4837.256,90.416,22.604,0.0,17495,38678.0,16.8
1009,Alabama,Blount,57710,28512,29198,4963.0599999999995,50727.090000000004,865.65,173.13,57.71,0.0,42345,45813.0,16.7
1011,Alabama,Bullock,10678,5660,5018,469.83200000000005,2370.516,7549.3460000000005,128.136,21.356,0.0,8057,31938.0,24.6
1013,Alabama,Butler,20354,9502,10852,244.24800000000002,10848.681999999999,8915.052,20.354,81.416,0.0,15581,32229.0,25.4
1015,Alabama,Calhoun,116648,56274,60374,4082.6800000000003,85153.04,23679.544,233.296,1049.832,0.0,88612,41703.0,20.5
1017,Alabama,Chambers,34079,16258,17821,136.316,19527.267,13733.837,68.158,272.632,0.0,26462,34177.0,21.6
1019,Alabama,Cherokee,26008,12975,13033,390.12,23849.336,1248.384,156.048,78.024,0.0,20600,36296.0,19.2
1021,Alabama,Chilton,43819,21619,22200,3330.244,35274.295000000006,4469.538,175.276,131.457,0.0,31728,41627.0,19.1
1023,Alabama,Choctaw,13395,6382,7013,53.58,7487.804999999999,5746.455,0.0,0.0,0.0,10568,33536.0,23.4
1025,Alabama,Clarke,25070,11834,13236,75.21000000000001,13387.380000000001,11356.71,0.0,100.28,100.28,19258,32011.0,24.7
1027,Alabama,Clay,13537,6671,6866,433.184,10816.063,1949.3280000000002,94.75899999999999,0.0,0.0,10312,35327.0,16.7
1029,Alabama,Cleburne,15002,7334,7668,345.046,13876.85,435.058,30.004,60.008,0.0,11367,38056.0,17.0
1031,Alabama,Coffee,50884,25174,25710,3256.576,36382.06,8752.047999999999,407.072,610.6080000000001,0.0,37575,46729.0,17.1
1033,Alabama,Colbert,54444,26303,28141,1306.656,42956.316,8493.264,326.664,163.332,54.444,42075,40576.0,17.4
1035,Alabama,Conecuh,12865,6176,6689,205.84,6561.150000000001,5750.655,38.595,0.0,0.0,9930,24900.0,33.8
1037,Alabama,Coosa,11027,5579,5448,231.567,7189.604,3385.2889999999998,11.027000000000001,0.0,0.0,8803,31212.0,19.3
1039,Alabama,Covington,37886,18339,19547,568.29,31559.037999999997,4925.18,189.43,113.658,37.886,29358,36444.0,20.2
1041,Alabama,Crenshaw,13938,6863,7075,236.94600000000003,9826.289999999999,3275.43,111.504,250.88400000000004,0.0,10591,36022.0,16.7
