State,County,TotalPop
Alabama,Autauga,55221
Alabama,Baldwin,195121
Alabama,Barbour,26932
Alabama,Bibb,22604
Alabama,Blount,57710
Alabama,Bullock,10678
Alabama,Butler,20354
Alabama,Calhoun,116648
Alabama,Chambers,34079
Alabama,Cherokee,26008
Alabama,Chilton,43819
Alabama,Choctaw,13395
Alabama,Clarke,25070
Alabama,Clay,13537
Alabama,Cleburne,15002
Alabama,Coffee,50884
Alabama,Colbert,54444
Alabama,Conecuh,12865
Alabama,Coosa,11027
Alabama,Covington,37886
Alabama,Crenshaw,13938
Alabama,Cullman,80965
Alabama,Dale,49866
Alabama,Dallas,42154
Alabama,DeKalb,71068
Alabama,Elmore,80763
Alabama,Escambia,37935
Alabama,Etowah,103766
Alabama,Fayette,16896
Alabama,Franklin,31634
Alabama,Geneva,26815
Alabama,Greene,8697
Alabama,Hale,15256
Alabama,Henry,17252
Alabama,Houston,103534
Alabama,Jackson,52860
Alabama,Jefferson,659026
Alabama,Lamar,14133
Alabama,Lauderdale,92737
Alabama,Lawrence,33586
Alabama,Lee,150982
Alabama,Limestone,88805
Alabama,Lowndes,10742
Alabama,Macon,20018
Alabama,Madison,346438
Alabama,Marengo,20306
Alabama,Marion,30387
Alabama,Marshall,94318
Alabama,Mobile,414251
Alabama,Monroe,22217
Alabama,Montgomery,228138
Alabama,Morgan,119786
Alabama,Perry,10038
Alabama,Pickens,19856
Alabama,Pike,33155
Alabama,Randolph,22648
Alabama,Russell,58302
Alabama,St. Clair,85864
Alabama,Shelby,203530
Alabama,Sumter,13341
Alabama,Talladega,81437
Alabama,Tallapoosa,41153
Alabama,Tuscaloosa,200458
Alabama,Walker,65923
Alabama,Washington,16997
Alabama,Wilcox,11235
Alabama,Winston,24130
Alaska,Aleutians East Borough,3304
Alaska,Aleutians West Census Area,5684
Alaska,Anchorage Municipality,299107
Alaska,Bethel Census Area,17776
Alaska,Bristol Bay Borough,970
Alaska,Denali Borough,2060
Alaska,Dillingham Census Area,4979
Alaska,Fairbanks North Star Borough,99705
Alaska,Haines Borough,2560
Alaska,Hoonah-Angoon Census Area,2128
Alaska,Juneau City and Borough,32531
Alaska,Kenai Peninsula Borough,57221
Alaska,Ketchikan Gateway Borough,13699
Alaska,Kodiak Island Borough,13973
Alaska,Kusilvak Census Area,7914
Alaska,Lake and Peninsula Borough,1474
Alaska,Matanuska-Susitna Borough,96178
Alaska,Nome Census Area,9854
Alaska,North Slope Borough,9667
Alaska,Northwest Arctic Borough,7732
Alaska,Petersburg Borough,3221
Alaska,Prince of Wales-Hyder Census Area,6376
Alaska,Sitka City and Borough,8943
Alaska,Skagway Municipality,999
Alaska,Southeast Fairbanks Census Area,7029
Alaska,Valdez-Cordova Census Area,9617
Alaska,Wrangell City and Borough,2387
Alaska,Yakutat City and Borough,643
Alaska,Yukon-Koyukuk Census Area,5644
Arizona,Apache,72124
Arizona,Cochise,129647
Arizona,Coconino,136701
Arizona,Gila,53165
Arizona,Graham,37407
Arizona,Greenlee,9023
Arizona,La Paz,20335
Arizona,Maricopa,4018143
Arizona,Mohave,203362
Arizona,Navajo,107656
Arizona,Pima,998537
Arizona,Pinal,389772
Arizona,Santa Cruz,47073
Arizona,Yavapai,215996
Arizona,Yuma,202987
Arkansas,Arkansas,18731
Arkansas,Ashley,21229
Arkansas,Baxter,41040
Arkansas,Benton,238198
Arkansas,Boone,37227
Arkansas,Bradley,11206
Arkansas,Calhoun,5245
Arkansas,Carroll,27635
Arkansas,Chicot,11353
Arkansas,Clark,22751
Arkansas,Clay,15400
Arkansas,Cleburne,25711
Arkansas,Cleveland,8510
Arkansas,Columbia,24327
Arkansas,Conway,21110
Arkansas,Craighead,101409
Arkansas,Crawford,61748
Arkansas,Crittenden,49765
Arkansas,Cross,17467
Arkansas,Dallas,7868
Arkansas,Desha,12379
Arkansas,Drew,18740
Arkansas,Faulkner,119343
Arkansas,Franklin,17866
Arkansas,Fulton,12224
Arkansas,Garland,96954
Arkansas,Grant,18054
Arkansas,Greene,43382
Arkansas,Hempstead,22336
Arkansas,Hot Spring,33316
Arkansas,Howard,13555
Arkansas,Independence,36952
Arkansas,Izard,13480
Arkansas,Jackson,17597
Arkansas,Jefferson,73548
Arkansas,Johnson,25930
Arkansas,Lafayette,7270
Arkansas,Lawrence,17029
Arkansas,Lee,9966
Arkansas,Lincoln,14062
Arkansas,Little River,12720
Arkansas,Logan,22001
Arkansas,Lonoke,70691
Arkansas,Madison,15702
Arkansas,Marion,16458
Arkansas,Miller,43652
Arkansas,Mississippi,44864
Arkansas,Monroe,7713
Arkansas,Montgomery,9197
Arkansas,Nevada,8793
Arkansas,Newton,8052
Arkansas,Ouachita,25044
Arkansas,Perry,10300
Arkansas,Phillips,20391
Arkansas,Pike,11087
Arkansas,Poinsett,24210
Arkansas,Polk,20364
Arkansas,Pope,62830
Arkansas,Prairie,8402
Arkansas,Pulaski,390463
Arkansas,Randolph,17695
Arkansas,St. Francis,27345
Arkansas,Saline,113833
Arkansas,Scott,10870
Arkansas,Searcy,7965
Arkansas,Sebastian,127273
Arkansas,Sevier,17268
Arkansas,Sharp,17055
Arkansas,Stone,12512
Arkansas,Union,40633
Arkansas,Van Buren,17002
Arkansas,Washington,216432
Arkansas,White,78660
Arkansas,Woodruff,6983
Arkansas,Yell,21835
California,Alameda,1584983
California,Alpine,1131
California,Amador,36995
California,Butte,222564
California,Calaveras,44767
California,Colusa,21396
California,Contra Costa,1096068
California,Del Norte,27788
California,El Dorado,182093
California,Fresno,956749
California,Glenn,28029
California,Humboldt,135034
California,Imperial,178206
California,Inyo,18373
California,Kern,865736
California,Kings,150998
California,Lake,64158
California,Lassen,32645
California,Los Angeles,10038388
California,Madera,153187
California,Marin,258349
California,Mariposa,17789
California,Mendocino,87544
California,Merced,263885
California,Modoc,9184
California,Mono,14146
California,Monterey,428441
California,Napa,140295
California,Nevada,98570
California,Orange,3116069
California,Placer,366280
California,Plumas,18966
California,Riverside,2298032
California,Sacramento,1465832
California,San Benito,57557
California,San Bernardino,2094769
California,San Diego,3223096
California,San Francisco,840763
California,San Joaquin,708554
California,San Luis Obispo,276517
California,San Mateo,748731
California,Santa Barbara,435850
California,Santa Clara,1868149
California,Santa Cruz,269278
California,Shasta,178942
California,Sierra,3021
California,Siskiyou,43895
California,Solano,425753
California,Sonoma,495078
California,Stanislaus,527367
California,Sutter,95247
California,Tehama,63152
California,Trinity,13373
California,Tulare,454033
California,Tuolumne,54079
California,Ventura,840833
California,Yolo,207320
California,Yuba,73437
Colorado,Adams,471206
Colorado,Alamosa,16269
Colorado,Arapahoe,608310
Colorado,Archuleta,12174
Colorado,Baca,3701
Colorado,Bent,5895
Colorado,Boulder,310032
Colorado,Broomfield,60699
Colorado,Chaffee,18309
Colorado,Cheyenne,2002
Colorado,Clear Creek,9136
Colorado,Conejos,8249
Colorado,Costilla,3581
Colorado,Crowley,5551
Colorado,Custer,4303
Colorado,Delta,30214
Colorado,Denver,649654
Colorado,Dolores,1862
Colorado,Douglas,306974
Colorado,Eagle,52576
Colorado,Elbert,23855
Colorado,El Paso,655024
Colorado,Fremont,46809
Colorado,Garfield,57076
Colorado,Gilpin,5605
Colorado,Grand,14411
Colorado,Gunnison,15651
Colorado,Hinsdale,874
Colorado,Huerfano,6502
Colorado,Jackson,1335
Colorado,Jefferson,552344
Colorado,Kiowa,1463
Colorado,Kit Carson,7980
Colorado,Lake,7362
Colorado,La Plata,53182
Colorado,Larimer,318227
Colorado,Las Animas,14503
Colorado,Lincoln,5478
Colorado,Logan,21928
Colorado,Mesa,147834
Colorado,Mineral,733
Colorado,Moffat,13117
Colorado,Montezuma,25700
Colorado,Montrose,40815
Colorado,Morgan,28359
Colorado,Otero,18572
Colorado,Ouray,4580
Colorado,Park,16189
Colorado,Phillips,4371
Colorado,Pitkin,17420
Colorado,Prowers,12235
Colorado,Pueblo,161519
Colorado,Rio Blanco,6712
Colorado,Rio Grande,11745
Colorado,Routt,23606
Colorado,Saguache,6238
Colorado,San Juan,606
Colorado,San Miguel,7676
Colorado,Sedgwick,2365
Colorado,Summit,28940
Colorado,Teller,23340
Colorado,Washington,4795
Colorado,Weld,270948
Colorado,Yuma,10185
Connecticut,Fairfield,939983
Connecticut,Hartford,896943
Connecticut,Litchfield,186304
Connecticut,Middlesex,165165
Connecticut,New Haven,862224
Connecticut,New London,273185
Connecticut,Tolland,151948
Connecticut,Windham,117470
Delaware,Kent,169509
Delaware,New Castle,549643
Delaware,Sussex,207302
District of Columbia,District of Columbia,647484
Florida,Alachua,254218
Florida,Baker,27135
Florida,Bay,175353
Florida,Bradford,27223
Florida,Brevard,553591
Florida,Broward,1843152
Florida,Calhoun,14615
Florida,Charlotte,165783
Florida,Citrus,139654
Florida,Clay,197417
Florida,Collier,341091
Florida,Columbia,67806
Florida,DeSoto,34957
Florida,Dixie,16091
Florida,Duval,890673
Florida,Escambia,306327
Florida,Flagler,100783
Florida,Franklin,11628
Florida,Gadsden,46424
Florida,Gilchrist,16992
Florida,Glades,13272
Florida,Gulf,15785
Florida,Hamilton,14395
Florida,Hardee,27468
Florida,Hendry,38363
Florida,Hernando,174809
Florida,Highlands,98328
Florida,Hillsborough,1302884
Florida,Holmes,19635
Florida,Indian River,142866
Florida,Jackson,48900
Florida,Jefferson,14198
Florida,Lafayette,8801
Florida,Lake,310561
Florida,Lee,663675
Florida,Leon,282940
Florida,Levy,39821
Florida,Liberty,8295
Florida,Madison,18729
Florida,Manatee,343729
Florida,Marion,336811
Florida,Martin,151586
Florida,Miami-Dade,2639042
Florida,Monroe,75901
Florida,Nassau,75880
Florida,Okaloosa,192237
Florida,Okeechobee,39255
Florida,Orange,1229039
Florida,Osceola,300870
Florida,Palm Beach,1378806
Florida,Pasco,479288
Florida,Pinellas,931477
Florida,Polk,626676
Florida,Putnam,72696
Florida,St. Johns,210495
Florida,St. Lucie,288006
Florida,Santa Rosa,161021
Florida,Sarasota,392038
Florida,Seminole,437346
Florida,Sumter,108501
Florida,Suwannee,43595
Florida,Taylor,22685
Florida,Union,15191
Florida,Volusia,503719
Florida,Wakulla,31128
Florida,Walton,59487
Florida,Washington,24629
Georgia,Appling,18417
Georgia,Atkinson,8294
Georgia,Bacon,11222
Georgia,Baker,3292
Georgia,Baldwin,45795
Georgia,Banks,18336
Georgia,Barrow,72012
Georgia,Bartow,101336
Georgia,Ben Hill,17477
Georgia,Berrien,19019
Georgia,Bibb,154816
Georgia,Bleckley,12746
Georgia,Brantley,18452
Georgia,Brooks,15637
Georgia,Bryan,33151
Georgia,Bulloch,72386
Georgia,Burke,23007
Georgia,Butts,23445
Georgia,Calhoun,6489
Georgia,Camden,51445
Georgia,Candler,11031
Georgia,Carroll,112595
Georgia,Catoosa,65375
Georgia,Charlton,13130
Georgia,Chatham,279290
Georgia,Chattahoochee,11914
Georgia,Chattooga,25241
Georgia,Cherokee,225944
Georgia,Clarke,120905
Georgia,Clay,3104
Georgia,Clayton,267234
Georgia,Clinch,6791
Georgia,Cobb,719133
Georgia,Coffee,43003
Georgia,Colquitt,46024
Georgia,Columbia,136204
Georgia,Cook,17033
Georgia,Coweta,133416
Georgia,Crawford,12539
Georgia,Crisp,23314
Georgia,Dade,16445
Georgia,Dawson,22673
Georgia,Decatur,27378
Georgia,DeKalb,716331
Georgia,Dodge,21180
Georgia,Dooly,14293
Georgia,Dougherty,93310
Georgia,Douglas,136520
Georgia,Early,10579
Georgia,Echols,4048
Georgia,Effingham,54630
Georgia,Elbert,19537
Georgia,Emanuel,22731
Georgia,Evans,10814
Georgia,Fannin,23742
Georgia,Fayette,108655
Georgia,Floyd,96169
Georgia,Forsyth,196236
Georgia,Franklin,22110
Georgia,Fulton,983903
Georgia,Gilmer,28673
Georgia,Glascock,3087
Georgia,Glynn,81743
Georgia,Gordon,55889
Georgia,Grady,25243
Georgia,Greene,16331
Georgia,Gwinnett,859234
Georgia,Habersham,43527
Georgia,Hall,187916
Georgia,Hancock,8881
Georgia,Haralson,28565
Georgia,Harris,32776
Georgia,Hart,25498
Georgia,Heard,11617
Georgia,Henry,211512
Georgia,Houston,147570
Georgia,Irwin,9408
Georgia,Jackson,61420
Georgia,Jasper,13593
Georgia,Jeff Davis,14990
Georgia,Jefferson,16374
Georgia,Jenkins,8922
Georgia,Johnson,9794
Georgia,Jones,28738
Georgia,Lamar,18114
Georgia,Lanier,10403
Georgia,Laurens,47886
Georgia,Lee,28946
Georgia,Liberty,64427
Georgia,Lincoln,7720
Georgia,Long,16588
Georgia,Lowndes,113203
Georgia,Lumpkin,30921
Georgia,McDuffie,21582
Georgia,McIntosh,14007
Georgia,Macon,14045
Georgia,Madison,28232
Georgia,Marion,8739
Georgia,Meriwether,21297
Georgia,Miller,5936
Georgia,Mitchell,22982
Georgia,Monroe,26915
Georgia,Montgomery,8968
Georgia,Morgan,17900
Georgia,Murray,39401
Georgia,Muscogee,200285
Georgia,Newton,102645
Georgia,Oconee,34400
Georgia,Oglethorpe,14688
Georgia,Paulding,147400
Georgia,Peach,27086
Georgia,Pickens,29740
Georgia,Pierce,18934
Georgia,Pike,17812
Georgia,Polk,41215
Georgia,Pulaski,11590
Georgia,Putnam,21247
Georgia,Quitman,2326
Georgia,Rabun,16266
Georgia,Randolph,7315
Georgia,Richmond,201291
Georgia,Rockdale,86901
Georgia,Schley,5074
Georgia,Screven,14206
Georgia,Seminole,8769
Georgia,Spalding,63873
Georgia,Stephens,25620
Georgia,Stewart,5868
Georgia,Sumter,31429
Georgia,Talbot,6490
Georgia,Taliaferro,1721
Georgia,Tattnall,25302
Georgia,Taylor,8401
Georgia,Telfair,16416
Georgia,Terrell,9213
Georgia,Thomas,44824
Georgia,Tift,40787
Georgia,Toombs,27210
Georgia,Towns,10800
Georgia,Treutlen,6762
Georgia,Troup,68867
Georgia,Turner,8338
Georgia,Twiggs,8509
Georgia,Union,21725
